Upper middle income,PRY,Paraguay,640
Upper middle income,ROU,Romania,122
Upper middle income,RUS,Russian Federation,88
Upper middle income,SRB,Serbia,398
Upper middle income,SUR,Suriname,559
Upper middle income,THA,Thailand,405
Upper middle income,TKM,Turkmenistan,224
Upper middle income,TUR,Turkey,383
Upper middle income,VCT,Saint Vincent and the Grenadines,207
Upper middle income,VEN,Venezuela (Bolivarian Republic of),94
Upper middle income,ZAF,South Africa,103
High income,ARE,United Arab Emirates,432
High income,ATG,Antigua and Barbuda,0
High income,AUS,Australia,138
High income,AUT,Austria,172
High income,BEL,Belgium,100
High income,BHS,Bahamas,3
High income,BMU,Bermuda,0
High income,BRB,Barbados,65
High income,BRN,Brunei Darussalam,58
High income,CAN,Canada,437
High income,CHE,Switzerland,84
High income,CHL,Chile,109
High income,CYP,Cyprus,84
High income,CZE,Czechia,63
High income,DEU,Germany,157
High income,DNK,Denmark,260
High income,ESP,Spain,84
High income,EST,Estonia,73
High income,FIN,Finland,6
High income,FRA,France,117
High income,GBR,United Kingdom,56
High income,GRC,Greece,214
High income,HKG,"China, Hong Kong SAR",43
High income,HRV,Croatia,146
High income,HUN,Hungary,203
High income,IRL,Ireland,134
High income,ISL,Iceland,0
High income,ISR,Israel,116
High income,ITA,Italy,34
High income,JPN,Japan,60
High income,KNA,Saint Kitts and Nevis,0
High income,KOR,Republic of Korea,145
High income,KWT,Kuwait,175
High income,LTU,Lithuania,198
High income,LUX,Luxembourg,57
High income,LVA,Latvia,108
High income,MAC,"China, Macao SAR",1
High income,MLT,Malta,101
High income,NCL,New Caledonia,24
High income,NLD,Netherlands,76
High income,NOR,Norway,102
High income,NZL,New Zealand,144
High income,OMN,Oman,115
High income,POL,Poland,248
High income,PRT,Portugal,62
High income,PYF,French Polynesia,16
High income,SAU,Saudi Arabia,67
High income,SVK,Slovakia,84
High income,SVN,Slovenia,509
High income,SWE,Sweden,102
High income,TTO,Trinidad and Tobago,85
High income,TWN,"China, Taiwan Province of",56
High income,URY,Uruguay,431
High income,USA,United States of America,52
