"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","SEX (CODE)","SEX (DISPLAY)","SEX (URL)","GHECAUSES (CODE)","GHECAUSES (DISPLAY)","GHECAUSES (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"AIR_50","Ambient air pollution attributable deaths (per 100 000, age-standardized)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AFR","Africa","","NAM","Namibia","","","","","","","","27","27.09384","","","","",""
"AIR_5","Ambient air pollution attributable deaths (per 100 000)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","EUR","Europe","","NLD","Netherlands","","","","","","","","24","23.98028","","","","",""
"AIR_50","Ambient air pollution attributable deaths (per 100 000, age-standardized)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","EUR","Europe","","NOR","Norway","","","","","","","","6","6.31128","","","","",""
"AIR_5","Ambient air pollution attributable deaths (per 100 000)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","PAK","Pakistan","","","","","","","","33","33.39573","","","","",""
"AIR_50","Ambient air pollution attributable deaths (per 100 000, age-standardized)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","WPR","Western Pacific","","PHL","Philippines","","","","","","","","47","46.58348","","","","",""
"AIR_5","Ambient air pollution attributable deaths (per 100 000)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","EUR","Europe","","PRT","Portugal","","","","","","","","17","16.82684","","","","",""
"AIR_50","Ambient air pollution attributable deaths (per 100 000, age-standardized)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AFR","Africa","","RWA","Rwanda","","","","","","","","40","39.63304","","","","",""
"AIR_5","Ambient air pollution attributable deaths (per 100 000)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AMR","Americas","","VCT","Saint Vincent and the Grenadines","","","","","","","","19","19.27038","","","","",""
"AIR_50","Ambient air pollution attributable deaths (per 100 000, age-standardized)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","EUR","Europe","","SRB","Serbia","","","","","","","","34","33.76299","","","","",""
"AIR_5","Ambient air pollution attributable deaths (per 100 000)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AFR","Africa","","SLE","Sierra Leone","","","","","","","","30","29.50074","","","","",""
"AIR_50","Ambient air pollution attributable deaths (per 100 000, age-standardized)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AFR","Africa","","ZAF","South Africa","","","","","","","","39","39.24770","","","","",""
"AIR_5","Ambient air pollution attributable deaths (per 100 000)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","EUR","Europe","","ESP","Spain","","","","","","","","15","14.70898","","","","",""
"AIR_50","Ambient air pollution attributable deaths (per 100 000, age-standardized)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","EUR","Europe","","CHE","Switzerland","","","","","","","","8","8.34461","","","","",""
"AIR_5","Ambient air pollution attributable deaths (per 100 000)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","SEAR","South-East Asia","","THA","Thailand","","","","","","","","33","33.31322","","","","",""
"AIR_50","Ambient air pollution attributable deaths (per 100 000, age-standardized)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","TUN","Tunisia","","","","","","","","44","44.11893","","","","",""
"AIR_5","Ambient air pollution attributable deaths (per 100 000)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","EUR","Europe","","TKM","Turkmenistan","","","","","","","","71","70.89193","","","","",""
"AIR_50","Ambient air pollution attributable deaths (per 100 000, age-standardized)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AFR","Africa","","TZA","United Republic of Tanzania","","","","","","","","21","21.35666","","","","",""
"AIR_5","Ambient air pollution attributable deaths (per 100 000)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AMR","Americas","","URY","Uruguay","","","","","","","","21","20.97644","","","","",""
"AIR_50","Ambient air pollution attributable deaths (per 100 000, age-standardized)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AFR","Africa","","ZMB","Zambia","","","","","","","","30","29.69947","","","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","EUR","Europe","","ALB","Albania","","FMLE","Female","","GHE000","All Causes","","915 [352 - 1 217]","914.77000","352.00000","1217.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","EUR","Europe","","AND","Andorra","","MLE","Male","","GHE000","All Causes","","12 [0 - 18]","12.21000","0.00000","18.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AMR","Americas","","ATG","Antigua and Barbuda","","BTSX","Both sexes","","GHE000","All Causes","","17 [0 - 25]","17.34000","0.00000","25.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","EUR","Europe","","AUT","Austria","","MLE","Male","","GHE000","All Causes","","1 518 [1 047 - 1 890]","1517.81000","1047.00000","1890.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AMR","Americas","","BHS","Bahamas","","BTSX","Both sexes","","GHE000","All Causes","","57 [0 - 86]","57.23000","0.00000","86.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AMR","Americas","","BRB","Barbados","","FMLE","Female","","GHE000","All Causes","","20 [0 - 28]","19.52000","0.00000","28.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AMR","Americas","","BLZ","Belize","","BTSX","Both sexes","","GHE000","All Causes","","36 [5 - 54]","35.91000","5.00000","54.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AMR","Americas","","BOL","Bolivia (Plurinational State of)","","FMLE","Female","","GHE000","All Causes","","1 164 [913 - 1 410]","1163.68000","913.00000","1410.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AFR","Africa","","BWA","Botswana","","FMLE","Female","","GHE000","All Causes","","160 [1 - 246]","159.88000","1.00000","246.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AFR","Africa","","BFA","Burkina Faso","","FMLE","Female","","GHE000","All Causes","","2 269 [1 179 - 3 387]","2269.29000","1179.00000","3387.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","WPR","Western Pacific","","KHM","Cambodia","","MLE","Male","","GHE000","All Causes","","1 519 [116 - 2 348]","1518.59000","116.00000","2348.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AMR","Americas","","CAN","Canada","","BTSX","Both sexes","","GHE000","All Causes","","1 886 [29 - 6 607]","1886.42000","29.00000","6607.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AMR","Americas","","CHL","Chile","","MLE","Male","","GHE000","All Causes","","1 654 [1 216 - 2 024]","1654.09000","1216.00000","2024.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AMR","Americas","","COL","Colombia","","BTSX","Both sexes","","GHE000","All Causes","","6 502 [4 499 - 8 063]","6502.27000","4499.00000","8063.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","WPR","Western Pacific","","COK","Cook Islands","","BTSX","Both sexes","","GHE000","All Causes","","Not applicable","","","","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","EUR","Europe","","HRV","Croatia","","BTSX","Both sexes","","GHE000","All Causes","","2 842 [2 028 - 3 556]","2842.17000","2028.00000","3556.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","EUR","Europe","","CZE","Czechia","","FMLE","Female","","GHE000","All Causes","","2 786 [2 194 - 3 323]","2785.89000","2194.00000","3323.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AFR","Africa","","COD","Democratic Republic of the Congo","","MLE","Male","","GHE000","All Causes","","12 082 [6 010 - 18 471]","12082.21000","6010.00000","18471.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AMR","Americas","","DOM","Dominican Republic","","MLE","Male","","GHE000","All Causes","","974 [88 - 1 395]","973.55000","88.00000","1395.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","EGY","Egypt","","MLE","Male","","GHE000","All Causes","","23 849 [19 760 - 28 330]","23848.90000","19760.00000","28330.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AFR","Africa","","GNQ","Equatorial Guinea","","BTSX","Both sexes","","GHE000","All Causes","","228 [18 - 384]","227.56000","18.00000","384.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","WPR","Western Pacific","","FJI","Fiji","","MLE","Male","","GHE000","All Causes","","1 [0 - 208]","1.42000","0.00000","208.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","EUR","Europe","","FRA","France","","BTSX","Both sexes","","GHE000","All Causes","","10 954 [3 825 - 15 204]","10953.64000","3825.00000","15204.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","EUR","Europe","","GEO","Georgia","","FMLE","Female","","GHE000","All Causes","","1 868 [1 156 - 2 365]","1867.59000","1156.00000","2365.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","EUR","Europe","","GRC","Greece","","BTSX","Both sexes","","GHE000","All Causes","","5 008 [1 717 - 6 683]","5007.65000","1717.00000","6683.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AFR","Africa","","GIN","Guinea","","FMLE","Female","","GHE000","All Causes","","1 219 [137 - 1 882]","1219.34000","137.00000","1882.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AMR","Americas","","GUY","Guyana","","MLE","Male","","GHE000","All Causes","","126 [0 - 193]","125.90000","0.00000","193.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","EUR","Europe","","ISL","Iceland","","FMLE","Female","","GHE000","All Causes","","10 [0 - 32]","10.05000","0.00000","32.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","SEAR","South-East Asia","","IDN","Indonesia","","MLE","Male","","GHE000","All Causes","","34 851 [18 554 - 46 214]","34850.79000","18554.00000","46214.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","IRQ","Iraq","","BTSX","Both sexes","","GHE000","All Causes","","10 085 [6 690 - 13 684]","10085.03000","6690.00000","13684.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AMR","Americas","","JAM","Jamaica","","MLE","Male","","GHE000","All Causes","","371 [257 - 468]","371.20000","257.00000","468.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","JOR","Jordan","","BTSX","Both sexes","","GHE000","All Causes","","1 483 [1 269 - 1 704]","1483.36000","1269.00000","1704.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","WPR","Western Pacific","","KIR","Kiribati","","FMLE","Female","","GHE000","All Causes","","0 [0 - 7]","0.00000","0.00000","7.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","WPR","Western Pacific","","LAO","Lao People's Democratic Republic","","BTSX","Both sexes","","GHE000","All Causes","","1 857 [758 - 2 730]","1856.64000","758.00000","2730.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AFR","Africa","","LSO","Lesotho","","MLE","Male","","GHE000","All Causes","","175 [0 - 332]","174.68000","0.00000","332.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","LBY","Libya","","MLE","Male","","GHE000","All Causes","","1 222 [829 - 1 646]","1222.04000","829.00000","1646.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AFR","Africa","","MWI","Malawi","","MLE","Male","","GHE000","All Causes","","1 264 [42 - 2 006]","1264.43000","42.00000","2006.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","SEAR","South-East Asia","","MDV","Maldives","","MLE","Male","","GHE000","All Causes","","32 [8 - 43]","32.11000","8.00000","43.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","EUR","Europe","","MLT","Malta","","BTSX","Both sexes","","GHE000","All Causes","","129 [66 - 164]","129.34000","66.00000","164.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AMR","Americas","","MEX","Mexico","","MLE","Male","","GHE000","All Causes","","9 178 [6 837 - 11 188]","9177.68000","6837.00000","11188.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","EUR","Europe","","MCO","Monaco","","BTSX","Both sexes","","GHE000","All Causes","","8 [0 - 14]","7.61000","0.00000","14.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","MAR","Morocco","","FMLE","Female","","GHE000","All Causes","","3 769 [2 851 - 4 570]","3768.65000","2851.00000","4570.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AFR","Africa","","NAM","Namibia","","BTSX","Both sexes","","GHE000","All Causes","","306 [40 - 481]","306.20000","40.00000","481.00000","","",""
"AIR_41","Ambient air pollution attributable deaths","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","EUR","Europe","","NLD","Netherlands","","FMLE","Female","","GHE000","All Causes","","1 726 [953 - 2 307]","1725.57000","953.00000","2307.00000","","",""
